#name                        dt     m1   m2     zl  zs     id      tau     sig
tdc1_rung1_double_pair1.txt -14.23 20.33 21.04 0.53 0.89 6333077 60.29928 0.02232
tdc1_rung1_double_pair2.txt 55.37 20.55 20.94 0.874 2.61 22037319 784.19513 0.00433
tdc1_rung1_double_pair3.txt -93.74 21.46 23.25 2.144 2.95 134634609 229.24763 0.0267
tdc1_rung1_double_pair4.txt 77.79 23.29 22.89 1.882 2.33 107697424 151.70235 0.0155
tdc1_rung1_double_pair5.txt 32.47 20.13 20.92 0.87 2.73 21767596 111.36159 0.01132
tdc1_rung1_double_pair6.txt -58.95 21.21 22.76 0.878 2.09 22265886 545.69795 0.00394
tdc1_rung1_double_pair7.txt 49.79 18.9 20.65 0.894 2.62 23191252 225.21185 0.00883
tdc1_rung1_double_pair8.txt 15.52 19.99 21.21 0.176 1.56 299506 45.3061 0.02008
tdc1_rung1_double_pair9.txt 75.66 19.7 20.69 0.928 2.54 25331145 519.13955 0.00384
tdc1_rung1_double_pair10.txt -68.18 21.88 23.29 0.966 2.79 27781976 199.45657 0.00673
tdc1_rung1_double_pair11.txt 13.04 21.89 23.13 0.792 3.64 17378703 459.4474 0.0042
tdc1_rung1_double_pair12.txt 26.3 22.83 22.7 0.472 2.05 4674912 485.5498 0.02137
tdc1_rung1_double_pair13.txt -28.44 21.22 23.09 0.454 2.12 4208831 187.81911 0.01813
tdc1_rung1_double_pair14.txt -5.03 22.36 23.11 0.728 3.79 14148779 381.32308 0.00856
tdc1_rung1_double_pair15.txt -84.43 18.38 20.21 0.64 1.87 10301246 224.52383 0.02309
tdc1_rung1_double_pair16.txt 16.17 22.86 22.96 0.272 3.88 1030743 51.03195 0.06921
tdc1_rung1_double_pair17.txt -102.1 21.8 22.46 0.63 1.59 9902731 435.95057 0.01766
tdc1_rung1_double_pair18.txt 75.29 21.92 21.28 0.696 3.32 12708856 214.78662 0.02815
tdc1_rung1_double_pair19.txt -54.31 21.76 21.99 0.898 2.38 23461229 454.00492 0.00425
tdc1_rung1_double_pair20.txt 56.15 19.79 22.27 0.748 2.02 15165438 418.38125 0.00815
tdc1_rung1_double_pair21.txt 44.5 23.04 22.19 0.97 2.48 28043857 171.56949 0.02144
tdc1_rung1_double_pair22.txt 32.44 19.83 20.08 0.74 2.42 14763811 88.72695 0.05211
tdc1_rung1_double_pair23.txt 29.81 20.65 22.52 0.498 2.65 5379206 66.85092 0.04352
tdc1_rung1_double_pair24.txt 55.28 21.53 22.58 0.414 2.86 3288023 86.41297 0.01953
tdc1_rung1_double_pair25.txt -45.17 21.21 23.14 0.324 0.61 1685041 55.94983 0.0298
tdc1_rung1_double_pair26.txt -104.5 21.05 21.49 0.89 2.84 22981300 68.47078 0.05409
tdc1_rung1_double_pair27.txt -8.35 21.23 22.35 0.83 2.74 19448188 36.33106 0.076
tdc1_rung1_double_pair28.txt 45.85 21.43 22.39 1.326 3.85 55150677 144.36666 0.03087
tdc1_rung1_double_pair29.txt 9.96 22.78 23.26 0.782 2.33 16838383 159.86299 0.00978
tdc1_rung1_double_pair30.txt 41.04 23.12 23.11 1.172 3.86 42542988 132.75321 0.02923
tdc1_rung1_double_pair31.txt -15.28 20.98 23.01 0.652 2.71 10778516 310.31231 0.01346
tdc1_rung1_double_pair32.txt 84.67 20.88 22.31 2.088 3.14 128805947 253.71156 0.00593
tdc1_rung1_double_pair33.txt 26.59 21.18 21.92 0.836 2.77 19829215 43.44417 0.06012
tdc1_rung1_double_pair34.txt 72.83 20.01 20.97 0.424 1.49 3516458 112.50146 0.02206
tdc1_rung1_double_pair35.txt 31.52 19.34 20.72 0.292 2.7 1262389 449.88672 0.00999
tdc1_rung1_double_pair36.txt -10.85 21.48 23.1 0.368 3.36 2381984 602.50499 0.00438
tdc1_rung1_double_pair37.txt -9.97 20.52 20.6 0.364 3.12 2310970 57.06521 0.02968
tdc1_rung1_double_pair38.txt -44.37 20.68 21.2 0.216 2.94 539796 52.87694 0.03784
tdc1_rung1_double_pair39.txt -27.13 21.17 23.28 0.838 3.36 19897311 68.47078 0.05409
tdc1_rung1_double_pair40.txt 65.29 21.53 23.19 1.386 2.52 60374052 533.98003 0.01949
tdc1_rung1_double_pair41.txt -24.06 19.43 20.18 1.578 2.73 77867135 64.0974 0.02636
tdc1_rung1_double_pair42.txt 76.57 21.54 21.86 0.404 1.45 3085855 751.92192 0.00482
tdc1_rung1_double_pair43.txt 24.02 21.95 23.13 0.156 2.13 210055 53.00956 0.02051
